id,product_id,order_id,movement_type,quantity,stock_before,stock_after,reason,created_by,created_at
3648,103,1312,sale,-1,,-1,,,2025-10-12 13:00:45.725477
3649,104,1313,sale,-1,,-1,,,2025-10-12 13:00:45.725477
3650,104,1314,sale,-1,,-2,,,2025-10-12 13:00:45.725477
3651,103,1315,sale,-1,,-2,,,2025-10-12 13:00:45.725477
3652,104,1316,sale,-1,,-3,,,2025-10-12 13:00:45.725477
3653,104,1317,sale,-2,,-5,,,2025-10-12 13:00:45.725477
3654,104,1318,sale,-1,,-6,,,2025-10-12 13:00:45.725477
3655,104,1319,sale,-1,,-7,,,2025-10-12 13:00:45.725477
3656,105,1320,sale,-4,,-4,,,2025-10-12 13:00:45.725477
3657,106,1321,sale,-1,,-1,,,2025-10-12 13:00:45.725477
3658,107,1322,sale,-4,,-4,,,2025-10-12 13:00:45.725477
3659,103,1323,sale,-1,,-3,,,2025-10-12 13:00:45.725477
3660,106,1324,sale,-1,,-2,,,2025-10-12 13:00:45.725477
3661,108,1325,sale,-2,,-2,,,2025-10-12 13:00:45.725477
3662,109,1326,sale,-1,,-1,,,2025-10-12 13:00:45.725477
3663,108,1327,sale,-3,,-5,,,2025-10-12 13:00:45.725477
3664,110,1328,sale,-2,,-2,,,2025-10-12 13:00:45.725477
3665,109,1329,sale,-1,,-2,,,2025-10-12 13:00:45.725477
3666,109,1330,sale,-1,,-3,,,2025-10-12 13:00:45.725477
3667,104,1331,sale,-1,,-8,,,2025-10-12 13:00:45.725477
3668,109,1332,sale,-2,,-5,,,2025-10-12 13:00:45.725477
3669,109,1333,sale,-8,,-13,,,2025-10-12 13:00:45.725477
3670,104,1334,sale,-2,,-10,,,2025-10-12 13:00:45.725477
3671,109,1335,sale,-1,,-14,,,2025-10-12 13:00:45.725477
3672,108,1336,sale,-12,,-17,,,2025-10-12 13:00:45.725477
3673,111,1337,sale,-3,,-3,,,2025-10-12 13:00:45.725477
3674,111,1338,sale,-2,,-5,,,2025-10-12 13:00:45.725477
3675,104,1339,sale,-1,,-11,,,2025-10-12 13:00:45.725477
3676,108,1340,sale,-1,,-18,,,2025-10-12 13:00:45.725477
3677,109,1341,sale,-1,,-15,,,2025-10-12 13:00:45.725477
3678,110,1342,sale,-1,,-3,,,2025-10-12 13:00:45.725477
3679,107,1343,sale,-1,,-5,,,2025-10-12 13:00:45.725477
3680,108,1344,sale,-19,,-37,,,2025-10-12 13:00:45.725477
3681,108,1345,sale,-20,,-57,,,2025-10-12 13:00:45.725477
3682,112,1346,sale,-20,,-20,,,2025-10-12 13:00:45.725477
3683,107,1347,sale,-1,,-6,,,2025-10-12 13:00:45.725477
