id,relbase_code,relbase_name,official_sku,product_id,match_type,confidence_level,mapping_notes,total_sales,first_seen_date,last_seen_date,inferred_category,inferred_variant,is_service_item,is_legacy_code,needs_manual_review,created_at,updated_at,description,product_id_relbase,url_image
353,WEB_DESchipscacao,Chips de Cacao 60%,BACM_U04010,246,name_fuzzy,high,Fuzzy match: Cacao → Barra Low Carb Cacao Maní - 1 unidad (100%),63,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:17.575983,,1311402,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/1311402/images/small_thumb_1-4.jpg?X-Amz-Expires=3600&X-Amz-Date=20251020T230757Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=f0733a92630d6b83d340cf59bd410975c9654045094c1a99e1cbecf9a80ead1c
3,GRCA_C02010,,GRCA_U26010,247,caja_master,high,,50,,,,,False,False,False,2025-10-21 17:32:59.423269,2025-11-06 15:24:21.823050,CAJA MASTER CON 20 UNIDADES DE GRANOLA LOW CARB CACAO DE 260 GRS,6544747,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544747/images/small_thumb_caja_master_granola_cacao.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220902Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=1c51834aac89b54e46f666f4d1788f6150165bbe045159c090e716a801dabd94
354,WEB_DESphysalis,Chips de Physalis,,249,no_match,none,,34,,,,,False,False,True,2025-10-21 17:33:30.003158,2025-11-06 15:24:33.883208,,1433733,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/1433733/images/small_thumb_chips-physalis-chico-chico-copia.png?X-Amz-Expires=3600&X-Amz-Date=20251021T002531Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251021/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=fc263094dc8e8f0f138b721c8b5be0f2050148018cd1c6deada63cc352cdbdc4
56,GRBE_C02010,,ML-MLC2978641268,253,name_fuzzy,medium,"Fuzzy match: Granola Berries 260g → Granola Grana Low Carb Berries Y Semillas, Vegana, Sin Aceit (86%)",25,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:24:47.782889,CAJA MASTER CON 10 UNIDADES DE GRANOLA LOW CARB BERRIES DE 260 GRS,6544719,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544719/images/small_thumb_caja_master_granola_berries.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220902Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=a1ee45f95db053a5520f917f58c228c29a89a8d538bed85a02797f73e688ad64
4,GRAL_C02010,,ML-MLC2967399930,255,name_fuzzy,medium,Fuzzy match: Granola Almendras 260g → Granola Grana Low Carb Almendras Y Semillas (87%),21,,,,,False,False,False,2025-10-21 17:32:59.423269,2025-11-06 15:24:56.871467,CAJA MASTER CON 10 UNIDADES DE GRANOLA LOW CARB ALMENDRAS DE 260 GRS,6544733,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544733/images/small_thumb_caja_master_granola_clasica.png?X-Amz-Expires=3600&X-Amz-Date=20251020T220902Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=ce8a49b92501d81c82cccee3714f5620520877927464d6fe9b24765d91f49096
48,CRCU_C01010,,CRCU_U13510,259,caja_master,high,,8,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:25:38.296581,CAJA MASTER CON 10 DISPLAYS DE CRACKERS KETO CÚRCUMA EN DISPLAYS DE 135 GRS,6544923,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/6544923/images/small_thumb_captura_de_pantalla_2025-03-14_a_la_s__11.31.15_a.m..png?X-Amz-Expires=3600&X-Amz-Date=20251020T223434Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=c16d6cf3b541c9f60f321025fc2e6c87fb177a72ec5777ed969e5fd1d381c3e1
331,CRRO_U13510_EM,UD CRACKERS ROMERO 135 GRS ESP,MLC2933751572,264,name_fuzzy,high,Fuzzy match: Crackers Romero 135g → Galletas Crackers Grana Keto Sabor Romero 135g Vegana (100%),6,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:01.127198,EMPORIO,4950120,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/4950120/images/small_thumb_crackers-romero-grana.png?X-Amz-Expires=3600&X-Amz-Date=20251020T224531Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=5144930816c1f50d7ab5af8c0d4f79bdb8be4c959e11962e3427be9c32ac4ac3
322,CRAA_U12010,Cracker Ajo Albahaca 135 gr,ML-MLC2930200766,266,name_fuzzy,high,Fuzzy match: Crackers 135g → Galletas Crackers Grana Keto Sabor Ajo Albahaca 135g Vegana (100%),5,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:07.042603,,6533387,
319,BAMC_U04010_NR,UD BARRA MANZANA GRANEL ESP,MLC1630337051,267,name_fuzzy,high,Fuzzy match: Barra → Barra Cereal Grana Sour Berries 5 Un (100%),5,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:09.843218,NEWREST,4938554,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/4938554/images/small_thumb_Barritamanzanaconsellovegano_9f3732ff-628b-47f2-ab3a-102c2bde64c1.png?X-Amz-Expires=3600&X-Amz-Date=20251020T224532Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=0fa7f62a3709a5c33e2840bce2b8006578259d10f6753b87a04fdaf557fdd8c5
315,BAKC_U04010_EM,UD BARRA KETO CACAO GRANEL ESP,BACM_U04010,269,name_fuzzy,high,Fuzzy match: Barra Cacao → Barra Low Carb Cacao Maní - 1 unidad (100%),3,,,,,False,False,False,2025-10-21 17:33:30.003158,2025-11-06 15:26:26.905870,"EMPORIO
",4949998,https://relke-erp-prod.s3-us-west-2.amazonaws.com/uploads/923/product/4949998/images/small_thumb_Barritaketoconselloketo_0fc25661-58d1-4ae0-91da-c27346621dcc.png?X-Amz-Expires=3600&X-Amz-Date=20251020T224535Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATSFAHWUNCQ7KSTET/20251020/us-west-2/s3/aws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=5179af1057a46c21cc7407cb9fe2000ae59d7dc30f4e78771288bfea6ca5154d
