CATEGORÍA,MARCA,PRODUCTO,SKU,TIPO ENVASE UNID,UNIDADES POR DISPLAY,NOMBRE CAJA MÁSTER,SKU CAJA MÁSTER
GRANOLAS,GRANA,GRANOLA LOW CARB ALMENDRAS 260,GRAL_U26010,DISPLAY,1,CAJA MASTER GRANOLA LOW CARB ALMENDRAS 260 GRS,GRAL_C01010
GRANOLAS,GRANA,GRANOLA LOW CARB CACAO 260,GRCA_U26010,DOYPACK,1,CAJA MASTER GRANOLA LOW CARB CACAO 260 GRS,GRCA_C02010
GRANOLAS,GRANA,GRANOLA LOW CARB BERRIES 260,GRBE_U26010,DISPLAY,1,CAJA MASTER GRANOLA LOW CARB BERRIES 260 GRS,GRBE_C01010
GRANOLAS,GRANA,GRANOLA KETO NUEZ 210,GRKC_U21010,DOYPACK,1,CAJA MASTER GRANOLA KETO NUEZ 210 GRS,GRKC_C02010
BARRAS,GRANA,BARRA LOW CARB CACAO MANÍ X1,BACM_U04010,GRANEL,1,CAJA MASTER BARRA LOW CARB CACAO MANÍ GRANEL,BACM_C20010
BARRAS,GRANA,BARRA LOW CARB MANZANA CANELA X1,BAMC_U04010,GRANEL,1,CAJA MASTER BARRA LOW CARB MANZANA GRANEL,BAMC_C20010
BARRAS,GRANA,BARRA LOW CARB BERRIES X1,BABE_U04010,GRANEL,1,CAJA MASTER BARRA LOW CARB BERRIES GRANEL,BABE_C20010
BARRAS,GRANA,BARRA KETO NUEZ X1,BAKC_U04010,GRANEL,1,CAJA MASTER BARRA KETO NUEZ GRANEL,BAKC_C20010
BARRAS,GRANA,BARRA KETO ALMENDRA X1,BAKA_U04010,GRANEL,1,CAJA MASTER BARRA KETO ALMENDRA GRANEL,BAKA_C20010
BARRAS,GRANA,BARRA LOW CARB CACAO MANÍ X5,BACM_U20010,DISPLAY,5,CAJA MASTER BARRAS LOW CARB CACAO MANÍ X5,BACM_C02810
BARRAS,GRANA,BARRA LOW CARB MANZANA CANELA X5,BAMC_U20010,DISPLAY,5,CAJA MASTER BARRAS LOW CARB MANZANA CANELA X5,BAMC_C02810
BARRAS,GRANA,BARRA LOW CARB BERRIES X5,BABE_U20010,DISPLAY,5,CAJA MASTER BARRAS LOW CARB BERRIES X5,BABE_C02810
BARRAS,GRANA,BARRA KETO NUEZ X5,BAKC_U20010,DISPLAY,5,CAJA MASTER BARRAS KETO NUEZ X5,BAKC_C02810
BARRAS,GRANA,BARRA KETO ALMENDRA X5,BAKA_U20010,DISPLAY,5,CAJA MASTER BARRAS ALMENDRAS X5,BAKA_C02810
BARRAS,GRANA,BARRA LOW CARB CACAO MANÍ X16,BACM_U64010,DISPLAY,16,CAJA MASTER BARRA LOW CARB CACAO MANI X16,BACM_C01210
BARRAS,GRANA,BARRA LOW CARB MANZANA CANELA X16,BAMC_U64010,DISPLAY,16,CAJA MASTER BARRA LOW CARB MANZANA X16,BAMC_C01210
BARRAS,GRANA,BARRA LOW CARB BERRIES  x16,BABE_U64010,DISPLAY,16,CAJA MASTER BARRA LOW CARB BERRIES X16,BABE_C01210
BARRAS,GRANA,BARRA KETO NUEZ X16,BAKC_U64010,DISPLAY,16,CAJA MASTER BARRA KETO NUEZ X16,BAKC_C01210
BARRAS,GRANA,BARRA KETO ALMENDRA X16,BAKA_U64010,DISPLAY,16,CAJA MASTER BARRA ALMENDRA X16,BAKA_C01210
CRACKERS,GRANA,CRACKERS KETO SAL DE MAR 135 GRS,CRSM_U13510,DISPLAY,1,CAJA MASTER CRACKERS KETO SAL DE MAR 135 GRS,CRSM_C01010
CRACKERS,GRANA,CRACKERS KETO PIMIENTA 135 GRS,CRPM_U13510,DISPLAY,1,CAJA MASTER CRACKERS KETO PIMIENTA 135 GRS,CRPM_C01010
CRACKERS,GRANA,CRACKERS KETO CÚRCUMA 135 GRS,CRCU_U13510,DISPLAY,1,CAJA MASTER CRACKERS KETO CÚRCUMA 135 GRS,CRCU_C01010
